match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77606,bl2,2025-08-30T20:30:00,4. Spieltag,Fortuna Düsseldorf,Karlsruher SC,MERKUR SPIEL-ARENA,54600,Düsseldorf,Karlsruhe,Düsseldorf Hauptbahnhof,51.219734,6.7943015,Karlsruhe Hauptbahnhof,48.9940078,8.4016492
77605,bl2,2025-08-31T13:30:00,4. Spieltag,1. FC Magdeburg,SpVgg Greuther Fürth,Avnet-Arena,30098,Magdeburg,Fürth,Magdeburg Hauptbahnhof,52.1305167,11.6267187,Fürth Hauptbahnhof,49.4703063,10.9912982
77607,bl2,2025-08-31T13:30:00,4. Spieltag,1. FC Kaiserslautern,SV Darmstadt 98,Fritz-Walter-Stadion,49350,Kaiserslautern,Darmstadt,Kaiserslautern Hauptbahnhof,49.4352378,7.7662774,Darmstadt Hauptbahnhof,49.8728528,8.6294113
77611,bl2,2025-08-31T13:30:00,4. Spieltag,Dynamo Dresden,FC Schalke 04,Rudolf-Harbig-Stadion,32123,Dresden,Gelsenkirchen,Dresden Hauptbahnhof,51.0403927,13.731467,Gelsenkirchen Hauptbahnhof,51.5047677,7.1022983
77613,bl2,2025-09-12T18:30:00,5. Spieltag,SC Paderborn 07,VfL Bochum,Home Deluxe Arena,15000,Paderborn,Bochum,Paderborn Hauptbahnhof,51.7128598,8.7404385,Bochum Hauptbahnhof,51.4785335,7.2232341
77620,bl2,2025-09-12T18:30:00,5. Spieltag,Arminia Bielefeld,1. FC Magdeburg,SchücoArena,27332,Bielefeld,Magdeburg,Bielefeld Hauptbahnhof,52.0293323,8.5327135,Magdeburg Hauptbahnhof,52.1305167,11.6267187
77614,bl2,2025-09-13T13:00:00,5. Spieltag,Karlsruher SC,1. FC Nürnberg,BBBank Wildpark,33180,Karlsruhe,Nürnberg,Karlsruhe Hauptbahnhof,48.9940078,8.4016492,Nürnberg Hauptbahnhof,49.4462031,11.0818654
77616,bl2,2025-09-13T13:00:00,5. Spieltag,SV Darmstadt 98,Eintracht Braunschweig,Merck-Stadion am Böllenfalltor,17810,Darmstadt,Braunschweig,Darmstadt Hauptbahnhof,49.8728528,8.6294113,Braunschweig Hauptbahnhof,52.2527622,10.5398097
77618,bl2,2025-09-13T13:00:00,5. Spieltag,FC Schalke 04,Holstein Kiel,Veltins-Arena,62278,Gelsenkirchen,Kiel,Gelsenkirchen Hauptbahnhof,51.5047677,7.1022983,Kiel Hauptbahnhof,54.3134463,10.1310136
77615,bl2,2025-09-13T20:30:00,5. Spieltag,Hannover 96,Hertha BSC,Heinz-von-Heiden-Arena,49000,Hannover,Berlin,Hannover Hauptbahnhof,52.3769504,9.7416533,Berlin Hauptbahnhof,52.5249451,13.3696614
77612,bl2,2025-09-14T13:30:00,5. Spieltag,SV 07 Elversberg,Dynamo Dresden,Ursapharm-Arena an der Kaiserlinde,9307,Spiesen-Elversberg,Dresden,Spiesen-Elversberg (Zentrum),49.3145046,7.1369778,Dresden Hauptbahnhof,51.0403927,13.731467
